	Domain	Phylum	Class	Order	Family	Genus	Species	Select
71deeec6dcc7df683daa57a71c9a85d6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	uncultured_bacterium	NP
69b6a54a0c02997fc748955e6a86a2d4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	uncultured_Rhizobiales	NP
3bd6c027e6c691d7e8fc62ed482bdf9b	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	1921-3	uncultured_bacterium	NP
325df401b45dee192dc6fd2a0657fad1	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	37-13	37-13	uncultured_bacterium	NP
6bff09aba02723f24e0989e435f96f78	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	ND	NP
854080deaa8d5312c3c9640817c8e55d	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	ND	NP
31047e1d20a9b70158f05407049b9e51	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	ND	NP
bab363500a22b708519a7f2a5cf7afb8	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	ND	NP
d594219c7e58b9213a2cfe8f076d557f	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	metagenome	NP
2ef183f6797f1c77b6cde046c29442fe	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	metagenome	NP
a32a9fea5f3713b68a9e38f33517abf0	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	metagenome	NP
b32c31cdf2e8499f2dcf74dc1dca50df	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	metagenome	NP
fcd5e9883d687addc9384b071e8b5da1	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	metagenome	NP
f0ec21f8e7f0f46aa747416baa24dec6	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	metagenome	NP
8ac31b088761470d4aaddc302c73a779	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	Solirubrobacterales_bacterium	NP
a9d20fecff1a683b39e9be0027795359	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	uncultured_bacterium	NP
093931ae79ddfbc7db6ddc6ce385e3e8	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	uncultured_bacterium	NP
50af92111d1cc3dd9110795e6d4c9ab4	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	uncultured_Rubrobacteria	NP
6bdbd7db1942d234aa16f82567ff21bc	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	uncultured_Rubrobacteria	NP
87f80e1b75c17bba760e92b1f6969094	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	A21b	A21b	ND	NP
de2dd1860b46eeb44a3cad22ffc381df	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	A21b	A21b	ND	NP
20498778620f88d932124c8385b2b958	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	A21b	A21b	ND	NP
21027e4b9dcb29a0c10130694ad6ea32	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	A21b	A21b	uncultured_proteobacterium	NP
450fe72062153ced02c1e73709ac30fb	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	A21b	A21b	uncultured_soil	NP
b3c40552fec4d0b1f6cc4c7bbf6496fa	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b	uncultured_Anaerolineaceae	NP
aa5c4c130c20958ab0c3eb456b4c14a5	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	ND	NP
6dbd954686ff9de03cd4b31c01eeaf73	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	ND	NP
e1102fef6bf74d13ffd080ce240de02b	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	metagenome	NP
558abc09f1fd68e10632107794bb6c8c	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	metagenome	NP
a3f07fa260885965aa091253512c4a76	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	uncultured_actinobacterium	NP
bab8a071df807d50bea25670ff572206	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	uncultured_actinobacterium	NP
e35c9e479acfcba2ff5ff7672d153d90	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	uncultured_bacterium	NP
c0107015093a7c9cb27b7f5cb7f521fe	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	uncultured_bacterium	NP
79e3733b14cfee4bdcf0a0de79d4b39f	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	uncultured_bacterium	NP
7188582e5a518e6a32c86562916854f3	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	uncultured_bacterium	NP
45a8755e8f245293dd9fe3de4ac0c3cb	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	uncultured_bacterium	NP
b4c07e35c6a4fa90fef7deba72915a67	Bacteria	Patescibacteria	Gracilibacteria	Absconditabacteriales_(SR1)	Absconditabacteriales_(SR1)	Absconditabacteriales_(SR1)	SR1_bacterium	NP
a29db17ddf0b36e316f11857a5186f69	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Acidaminobacteraceae	Acidaminobacter	uncultured_prokaryote	NP
7876a5906e5be58d068237cd0b6ebb3c	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Acidibacter	ND	NP
b03e9026e7093c7313575b5d335382cc	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Acidibacter	ND	NP
2e4a2e5ad75f2d321aadefddacb2fca7	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Acidibacter	ND	NP
30fc0a108c4af4190308d5c0d29260ba	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidicaldus	uncultured_bacterium	NP
0a121358b32061124307343c5270b4c8	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	ND	NP
96bb4a7c1ef3f2f458574ab158f010e1	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	ND	NP
f2c8489f880fd6b3b9f01871b11ed029	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	ND	NP
3562adbb4ba191a54c02d0ff14cc5458	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	uncultured_Alphaproteobacteria	NP
fd3b35179578688ec0f77b52bab1f7eb	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	uncultured_bacterium	NP
69a7261dfbf942221779304cb06406fc	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	uncultured_bacterium	NP
13cdf0c27e8513954614e8af7448f4eb	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	uncultured_bacterium	NP
f94afa6e5f1dc569ecf01d37214a51a1	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	uncultured_bacterium	NP
25096f7596d1f53ecd29a9f4c8c58261	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	uncultured_bacterium	NP
c20fb6a9cf46e4c7a1425e63fd87025a	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	uncultured_bacterium	NP
9eb55adb3635984713e8da26315ee7aa	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	uncultured_bacterium	NP
b7192a8ee82ddaa653537e73df72f478	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	uncultured_bacterium	NP
6192892ebc8c3084f2fc528c23723ee0	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	uncultured_bacterium	NP
b70582ce6baff1328ce0f8f652adf9bc	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	uncultured_bacterium	NP
b3045ad1bd2b542e93b5f9a25150f352	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	uncultured_bacterium	NP
87719380f140a6e9111da3263585fba7	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	uncultured_bacterium	NP
3e133449954792fba6c2a80d3c7d1b5f	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	uncultured_bacterium	NP
3d2d6f218da57825cf990ff32feccf3b	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	uncultured_bacterium	NP
a7affdf37ba11e1a8c4e30de8210d5b1	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	uncultured_bacterium	NP
2f23ba04e29d4f4fe40a157cc74d49b8	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	uncultured_soil	NP
f0517e4077d3468f0ceea9b5f1ab55e7	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	uncultured_soil	NP
3250741240e968c8b4b1a555003ba31c	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Acidipila	uncultured_bacterium	NP
1975f0f2b6531e29f1c84e99f1b51ef8	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	ND	NP
50dcb728c67166ba82dcfc503a9eae8a	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	ND	NP
a3b7b867cce0dce4abd46b1beee56799	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	uncultured_bacterium	NP
a7886519b7bba11496199a24e256375a	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	uncultured_soil	NP
918011b9f883715411a914f2da76d0ed	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	uncultured_Thermomonosporaceae	NP
3ebe761bfb1238c87195d431f41bf976	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	ND	NP
0e2e91fba1ca9ed7de2d11ea4786c914	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	ND	NP
e8386d3a307c208c4b9f0a756259cd6b	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	ND	NP
c22b16cc6108c04f29fea3b6d4c81571	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	ND	NP
53a72e9b3cf82324d28b42d9c1257951	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	ND	NP
ea403646ed22d679fa4586263d8fc32f	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	ND	NP
d15bc449222795a9ff230013aa633686	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	ND	NP
0ff52ecd45be79c478d82cfd5bd2e9cd	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	ND	NP
430d480477d450614cc88f3853c6ae7f	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	ND	NP
3d5baff45729bf2214074c2e9f77ad10	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	ND	NP
640a09239b693f171871a58305e4f7af	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	ND	NP
5c60f84b3d868e8544e0b7805e20ae77	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter_radioresistens	NP
fa3be2840777c910e6ffcce73ddc962d	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter_towneri	NP
1a5c5191af79edc39089d0448be193ab	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura	ND	NP
0ed3a6836e138f14044f6950ad7280d2	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	ND	NP
75a3e20e916ee5ec7dceae34a1bc0209	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	ND	NP
7dc8dac0f906d237a6960615e0eb24ad	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	ND	NP
2a39f0b75d31d00b3136b2edbe82962e	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinomycetospora	ND	NP
9a4f0f7ff04e3c579d29e3a380d90345	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinomycetospora	ND	NP
439320b58b4824add9bc9f7189aaaee0	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	ND	NP
b2bddb7c0fcf6f870716eaa9787150e0	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	ND	NP
845be08d6ae6d3073a24d790fab9962a	Bacteria	Chloroflexi	AD3	AD3	AD3	AD3	ND	NP
b2c95bf3346a662fce4a3e93c329d8a2	Bacteria	Chloroflexi	AD3	AD3	AD3	AD3	uncultured_bacterium	NP
d3237922cb869ba03ca7672b5f29df73	Bacteria	Chloroflexi	AD3	AD3	AD3	AD3	uncultured_bacterium	NP
45a5b937529debcc980ba40152dc0103	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter	ND	NP
65641452be75528754b5ae258ba661c1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	ND	NP
6ef30ad70950c7994898405da4aa1f2a	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium	ND	NP
07586913d93a70ce3872c138e654a819	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	ND	NP
3d4a62ab2efa051955f1efb1e0c7a2a3	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	AKIW781	ND	NP
bb0438dd5569b65fbbe479feb5e5498e	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767	AKYH767	ND	NP
567f0c44227ba8f1fa2a9c93595ff869	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767	AKYH767	Bacteroidetes_bacterium	NP
3a10af731bdbc7c63b878aea03b96dda	Bacteria	Firmicutes	Bacilli	Alicyclobacillales	Alicyclobacillaceae	Alicyclobacillus	Alicyclobacillus_acidocaldarius	NP
a6c8d4cecc4d6fd8776824797d392c66	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	Alkanibacter	ND	NP
96fda26b90a5e63e1740e5c71d696c6a	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Alkanindiges	ND	NP
a7d9ac24cf597a17e98e400931d90089	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Alkanindiges	ND	NP
96536c137cc245cdb18aa943e30eba06	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Alkanindiges	uncultured_bacterium	NP
53f310bddeb30484a2aa0e9feb5a5726	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Alloiococcus	Alloiococcus_otitis	NP
c5e852d703b4f5d3d29d6ea8db5b8ac6	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Alloiococcus	Alloiococcus_otitis	NP
fa75e4a8d77483c82a344c520c19f153	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Alloiococcus	uncultured_bacterium	NP
4e225ba51494e5dff28302c7a336d5c2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Alloiococcus	uncultured_bacterium	NP
0a21726cd4952a96635576553da67787	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	ND	NP
e1c7d97fe13e9127d225d76a1feb8c78	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	ND	NP
fc6622c636a5210293fb2873fc4761d9	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	ND	NP
a9164d01308501b576afa06256a15b0f	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	ND	NP
c2a787cf867ebfdce216002bcc8a94e1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	ND	NP
06bb3fa895e072e060638ec1131d0d3c	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	ND	NP
cf3381318906e1e08f58bca905636dc0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	ND	NP
55504d8ef9d9b297a0a0d7a78c0e0297	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	ND	NP
d4ed8e95671bb076cf81536b9db1e1be	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	ND	NP
763a75aed09a63dae82343707059b1cd	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	ND	NP
09b2aadbde89fc4e9d2a28a36aaebb4f	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	ND	NP
95361a7b3f22232daad6fbe4253b6533	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	ND	NP
b597bc758aaf46f99fb8e25b4c5cc7ee	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	ND	NP
4dc1c2b31fbf82367a7a5176b45da8d4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	ND	NP
5c569a4a28462e3c10e5ac1c5891e6af	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter	ND	NP
b5660950f02ea6ecf4bde8a8e691374a	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter	ND	NP
1a883863725eead9924f1c1ae4f7f3da	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter	Porphyrobacter_mercurialis	NP
e6f35e978bd7ee5baf1f0e2b955965f6	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Amnibacterium	uncultured_bacterium	NP
8e47bebe15bfe9d37e3209c5bdbd675a	Bacteria	Firmicutes	Clostridia	Clostridia	Hungateiclostridiaceae	Anaerobacterium	uncultured_bacterium	NP
9e3e61ab8f8501e49dfd6f9a0af91d14	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales	Anaerococcus	ND	NP
203878e9d152bb2a951df16f07645d2a	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales	Anaerococcus	ND	NP
c67ba62f34a05261ea7a810ff643a52c	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales	Anaerococcus	Anaerococcus_octavius	NP
a63aaf1c1a9cfb4676d4db578720075d	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales	Anaerococcus	Anaerococcus_sp.	NP
f0d149fb8ac83611b6ff3a0e204e626d	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales	Anaerococcus	uncultured_bacterium	NP
1ad9bc6fc131afd3efc70d3a518f5e19	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales	Anaerococcus	uncultured_bacterium	NP
41f3f39a0335a7392afa80327caf0f77	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales	Anaerococcus	uncultured_organism	NP
a406facd6a6c0692c31af14624927ca8	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea	ND	NP
5824e2d3a75e0c8287b73b5d3eb81f71	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea	uncultured_soil	NP
4e067994467e0164d93a61a11783a0fa	Bacteria	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	uncultured_bacterium	NP
595d49421ec4827d0ec22b1e5890c4c9	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Angustibacter	ND	NP
33295f1846cff2bf9c88e15798fbc91d	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	ND	NP
43348be6297bada3a2910845bb4f6f20	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	ND	NP
